                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     281162
  IPC                                |       0.47
  Time (ns)                          |     105700
  Idle time (ns)                     |        -23
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18298
  num incorrect                      |       1501
  misprediction rate                 |      7.58%
  mpki                               |      11.32
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |         91
    miss rate                        |      0.16%
    mpki                             |       0.69
  L2 TLB                             |           
    num accesses                     |        131
    num misses                       |        111
    miss rate                        |     84.73%
    mpki                             |       0.84
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.19
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1680
    miss rate                        |      2.89%
    mpki                             |      12.67
  Cache L2                           |           
    num cache accesses               |       2404
    num cache misses                 |       2192
    miss rate                        |     91.18%
    mpki                             |      16.53
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2192
    miss rate                        |     98.38%
    mpki                             |      16.53
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.14
  average dram queueing delay        |      18.71
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1059
  num loads from dram cache          |          0
  num loads from remote cache        |          0
