                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     284354
  IPC                                |       0.47
  Time (ns)                          |     106900
  Idle time (ns)                     |         21
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18294
  num incorrect                      |       1505
  misprediction rate                 |      7.60%
  mpki                               |      11.35
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58048
    num misses                       |         95
    miss rate                        |      0.16%
    mpki                             |       0.72
  L2 TLB                             |           
    num accesses                     |        135
    num misses                       |        110
    miss rate                        |     81.48%
    mpki                             |       0.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.19
  Cache L1-D                         |           
    num cache accesses               |      58048
    num cache misses                 |       1681
    miss rate                        |      2.90%
    mpki                             |      12.68
  Cache L2                           |           
    num cache accesses               |       2407
    num cache misses                 |       2195
    miss rate                        |     91.19%
    mpki                             |      16.55
  Cache L3                           |           
    num cache accesses               |       2233
    num cache misses                 |       2192
    miss rate                        |     98.16%
    mpki                             |      16.53
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.00
  average dram queueing delay        |      18.57
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1061
  num loads from dram cache          |          0
  num loads from remote cache        |          0
