                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     281162
  IPC                                |       0.47
  Time (ns)                          |     105700
  Idle time (ns)                     |         16
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18297
  num incorrect                      |       1502
  misprediction rate                 |      7.59%
  mpki                               |      11.33
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |        102
    miss rate                        |      0.18%
    mpki                             |       0.77
  L2 TLB                             |           
    num accesses                     |        142
    num misses                       |        109
    miss rate                        |     76.76%
    mpki                             |       0.82
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.19
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1680
    miss rate                        |      2.89%
    mpki                             |      12.67
  Cache L2                           |           
    num cache accesses               |       2404
    num cache misses                 |       2191
    miss rate                        |     91.14%
    mpki                             |      16.52
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2191
    miss rate                        |     98.38%
    mpki                             |      16.52
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.17
  average dram queueing delay        |      18.74
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
