                                     | Core 0    
  Instructions                       |     157619
  Cycles                             |     270522
  IPC                                |       0.58
  Time (ns)                          |     101700
  Idle time (ns)                     |         25
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18294
  num incorrect                      |       1505
  misprediction rate                 |      7.60%
  mpki                               |       9.55
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.25
  D-TLB                              |           
    num accesses                     |      63047
    num misses                       |         75
    miss rate                        |      0.12%
    mpki                             |       0.48
  L2 TLB                             |           
    num accesses                     |        115
    num misses                       |        110
    miss rate                        |     95.65%
    mpki                             |       0.70
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       4.36
  Cache L1-D                         |           
    num cache accesses               |      63047
    num cache misses                 |       1680
    miss rate                        |      2.66%
    mpki                             |      10.66
  Cache L2                           |           
    num cache accesses               |       2404
    num cache misses                 |       2192
    miss rate                        |     91.18%
    mpki                             |      13.91
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2192
    miss rate                        |     98.38%
    mpki                             |      13.91
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.18
  average dram queueing delay        |      18.75
  average dram bandwidth utilization |     18.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
