                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     284088
  IPC                                |       0.47
  Time (ns)                          |     106800
  Idle time (ns)                     |         50
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18297
  num incorrect                      |       1502
  misprediction rate                 |      7.59%
  mpki                               |      11.33
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58048
    num misses                       |         76
    miss rate                        |      0.13%
    mpki                             |       0.57
  L2 TLB                             |           
    num accesses                     |        116
    num misses                       |        110
    miss rate                        |     94.83%
    mpki                             |       0.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.19
  Cache L1-D                         |           
    num cache accesses               |      58048
    num cache misses                 |       1680
    miss rate                        |      2.89%
    mpki                             |      12.67
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2192
    miss rate                        |     91.11%
    mpki                             |      16.53
  Cache L3                           |           
    num cache accesses               |       2230
    num cache misses                 |       2192
    miss rate                        |     98.30%
    mpki                             |      16.53
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.01
  average dram queueing delay        |      18.58
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1061
  num loads from dram cache          |          0
  num loads from remote cache        |          0
