                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     283024
  IPC                                |       0.47
  Time (ns)                          |     106400
  Idle time (ns)                     |          6
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18294
  num incorrect                      |       1505
  misprediction rate                 |      7.60%
  mpki                               |      11.35
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |         77
    miss rate                        |      0.13%
    mpki                             |       0.58
  L2 TLB                             |           
    num accesses                     |        117
    num misses                       |        110
    miss rate                        |     94.02%
    mpki                             |       0.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        687
    miss rate                        |      3.52%
    mpki                             |       5.18
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1682
    miss rate                        |      2.90%
    mpki                             |      12.68
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2191
    miss rate                        |     91.06%
    mpki                             |      16.52
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2191
    miss rate                        |     98.34%
    mpki                             |      16.52
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      71.97
  average dram queueing delay        |      18.54
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
