                                     | Core 0    
  Instructions                       |     122622
  Cycles                             |     267596
  IPC                                |       0.46
  Time (ns)                          |     100600
  Idle time (ns)                     |         -2
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18290
  num incorrect                      |       1509
  misprediction rate                 |      7.62%
  mpki                               |      12.31
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       9521
    num misses                       |         40
    miss rate                        |      0.42%
    mpki                             |       0.33
  D-TLB                              |           
    num accesses                     |      58048
    num misses                       |         81
    miss rate                        |      0.14%
    mpki                             |       0.66
  L2 TLB                             |           
    num accesses                     |        121
    num misses                       |        111
    miss rate                        |     91.74%
    mpki                             |       0.91
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       9521
    num cache misses                 |        688
    miss rate                        |      7.23%
    mpki                             |       5.61
  Cache L1-D                         |           
    num cache accesses               |      58048
    num cache misses                 |       1680
    miss rate                        |      2.89%
    mpki                             |      13.70
  Cache L2                           |           
    num cache accesses               |       2405
    num cache misses                 |       2190
    miss rate                        |     91.06%
    mpki                             |      17.86
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2190
    miss rate                        |     98.34%
    mpki                             |      17.86
DRAM summary                         |           
  num dram accesses                  |       2190
  average dram access latency (ns)   |      72.01
  average dram queueing delay        |      18.58
  average dram bandwidth utilization |     18.00%
Coherency Traffic                    |           
  num loads from dram                |       1059
  num loads from dram cache          |          0
  num loads from remote cache        |          0
